管轄,町名,ふりがな,郵便番号
本庁,入舟町,いりふねちょう,040-0057
本庁,船見町,ふなみちょう,040-0055
本庁,弥生町,やよいちょう,040-0056
本庁,弁天町,べんてんちょう,040-0051
本庁,大町,おおまち,040-0052
本庁,末広町,すえひろちょう,040-0053
本庁,元町,もとまち,040-0054
本庁,青柳町,あおやぎちょう,040-0044
本庁,谷地頭町,やちがしらちょう,040-0046
本庁,住吉町,すみよしちょう,040-0045
本庁,宝来町,ほうらいちょう,040-0043
本庁,東川町,ひがしかわちょう,040-0042
本庁,豊川町,とよかわちょう,040-0065
本庁,大手町,おおてまち,040-0064
本庁,栄町,さかえちょう,040-0041
本庁,旭町,あさひちょう,040-0037
本庁,東雲町,しののめちょう,040-0036
本庁,大森町,おおもりちょう,040-0034
本庁,松風町,まつかぜちょう,040-0035
本庁,若松町,わかまつちょう,040-0063
本庁,千歳町,ちとせちょう,040-0033
本庁,新川町,しんかわちょう,040-0032
本庁,上新川町,かみしんかわちょう,040-0031
本庁,海岸町,かいがんちょう,040-0061
本庁,大縄町,おおなわちょう,040-0062
本庁,松川町,まつかわちょう,040-0074
本庁,万代町,ばんだいちょう,040-0075
本庁,浅野町,あさのちょう,040-0076
本庁,吉川町,よしかわちょう,040-0077
本庁,北浜町,きたはまちょう,040-0078
本庁,港町１丁目,みなとちょういっちょうめ,041-0821
本庁,港町２丁目,みなとちょうにちょうめ,041-0821
本庁,港町３丁目,みなとちょうさんちょうめ,041-0821
本庁,追分町,おいわけちょう,040-0071
本庁,亀田町,かめだまち,040-0072
本庁,大川町,おおかわちょう,040-0084
本庁,田家町,たやちょう,040-0081
本庁,白鳥町,しらとりちょう,040-0082
本庁,八幡町,はちまんちょう,040-0083
本庁,宮前町,みやまえちょう,040-0073
本庁,中島町,なかじまちょう,040-0014
本庁,千代台町,ちよがだいちょう,040-0013
本庁,堀川町,ほりかわちょう,040-0025
本庁,高盛町,たかもりちょう,040-0024
本庁,宇賀浦町,うがうらちょう,040-0023
本庁,日乃出町,ひのでちょう,040-0022
本庁,的場町,まとばちょう,040-0021
本庁,時任町,ときとうちょう,040-0012
本庁,杉並町,すぎなみちょう,040-0004
本庁,本町,ほんちょう,040-0011
本庁,梁川町,やながわちょう,040-0015
本庁,五稜郭町,ごりょうかくちょう,040-0001
本庁,柳町,やなぎまち,040-0002
本庁,松陰町,まつかげちょう,040-0003
本庁,人見町,ひとみちょう,040-0005
本庁,金堀町,かなほりちょう,042-0944
本庁,乃木町,のぎまち,042-0943
本庁,柏木町,かしわぎちょう,042-0942
本庁,川原町,かわはらちょう,041-0844
湯川支所,深堀町,ふかぼりちょう,042-0941
湯川支所,駒場町,こまばちょう,042-0935
湯川支所,広野町,ひろのちょう,042-0934
湯川支所,湯浜町,ゆのはまちょう,042-0933
湯川支所,湯川町１丁目,ゆのかわちょういっちょうめ,042-0932
湯川支所,湯川町２丁目,ゆのかわちょうにちょうめ,042-0932
湯川支所,湯川町３丁目,ゆのかわちょうさんちょうめ,042-0932
湯川支所,戸倉町,とくらちょう,042-0953
湯川支所,榎本町,えのもとちょう,042-0931
湯川支所,花園町,はなぞのちょう,041-0843
湯川支所,日吉町１丁目,ひよしちょういっちょうめ,041-0841
湯川支所,日吉町２丁目,ひよしちょうにちょうめ,041-0841
湯川支所,日吉町３丁目,ひよしちょうさんちょうめ,041-0841
湯川支所,日吉町４丁目,ひよしちょうよんちょうめ,041-0841
湯川支所,上野町,うえのちょう,042-0954
湯川支所,高丘町,たかおかちょう,042-0955
湯川支所,滝沢町,たきさわちょう,042-0957
湯川支所,見晴町,みはらしちょう,042-0956
湯川支所,鈴蘭丘町,すずらんおかちょう,042-0958
湯川支所,上湯川町,かみゆのかわちょう,042-0914
湯川支所,銅山町,どうざんちょう,042-0908
湯川支所,旭岡町,あさひおかちょう,042-0916
湯川支所,西旭岡町１丁目,にしあさひおかちょういっちょうめ,042-0915
湯川支所,西旭岡町２丁目,にしあさひおかちょうにちょうめ,042-0915
湯川支所,西旭岡町３丁目,にしあさひおかちょうさんちょうめ,042-0915
湯川支所,鱒川町,ますかわちょう,042-0907
湯川支所,寅沢町,とらさわちょう,040-0000
湯川支所,三森町,みつもりちょう,042-0906
湯川支所,紅葉山町,もみじやまちょう,042-0905
湯川支所,庵原町,いをはらちょう,042-0904
湯川支所,亀尾町,かめおちょう,042-0917
湯川支所,米原町,まいばらちょう,042-0918
湯川支所,東畑町,ひがしはたちょう,042-0903
湯川支所,鉄山町,てつざんちょう,042-0902
湯川支所,蛾眉野町,がびのちょう,042-0901
銭亀沢支所,根崎町,ねさきちょう,042-0924
銭亀沢支所,高松町,たかまつちょう,042-0952
銭亀沢支所,志海苔町,しのりちょう,042-0923
銭亀沢支所,瀬戸川町,せとがわちょう,042-0951
銭亀沢支所,赤坂町,あかさかちょう,042-0913
銭亀沢支所,銭亀町,ぜにかめちょう,042-0922
銭亀沢支所,中野町,なかのちょう,042-0912
銭亀沢支所,新湊町,しんみなとちょう,042-0921
銭亀沢支所,石倉町,いしくらちょう,042-0911
銭亀沢支所,古川町,ふるかわちょう,041-0262
銭亀沢支所,豊原町,とよはらちょう,041-0263
銭亀沢支所,石崎町,いしざきちょう,041-0261
銭亀沢支所,鶴野町,つるのちょう,041-0264
銭亀沢支所,白石町,しろいしちょう,041-0265
亀田支所,富岡町１丁目,とみおかちょういっちょうめ,041-0811
亀田支所,富岡町２丁目,とみおかちょうにちょうめ,041-0811
亀田支所,富岡町３丁目,とみおかちょうさんちょうめ,041-0811
亀田支所,中道１丁目,なかみち,041-0853
亀田支所,中道２丁目,なかみち,041-0853
亀田支所,山の手１丁目,やまのていっちょうめ,041-0836
亀田支所,山の手２丁目,やまのてにちょうめ,041-0836
亀田支所,山の手３丁目,やまのてさんちょうめ,041-0836
亀田支所,本通１丁目,ほんどおりいっちょうめ,041-0851
亀田支所,本通２丁目,ほんどおりにちょうめ,041-0851
亀田支所,本通３丁目,ほんどおりさんちょうめ,041-0851
亀田支所,本通４丁目,ほんどおりよんちょうめ,041-0851
亀田支所,鍛治１丁目,かじいっちょうめ,041-0852
亀田支所,鍛治２丁目,かじにちょうめ,041-0852
亀田支所,陣川町,じんかわちょう,041-0833
亀田支所,陣川１丁目,じんかわいっちょうめ,041-0837
亀田支所,陣川２丁目,じんかわにちょうめ,041-0837
亀田支所,神山町,かみやまちょう,041-0831
亀田支所,神山１丁目,かみやまいっちょうめ,041-0832
亀田支所,神山２丁目,かみやまにちょうめ,041-0832
亀田支所,神山３丁目,かみやまさんちょうめ,041-0832
亀田支所,東山町,ひがしやまちょう,041-0834
亀田支所,東山１丁目,ひがしやまいっちょうめ,041-0835
亀田支所,東山２丁目,ひがしやまにちょうめ,041-0835
亀田支所,東山３丁目,ひがしやまさんちょうめ,041-0835
亀田支所,美原１丁目,みはらいっちょうめ,041-0806
亀田支所,美原２丁目,みはらにちょうめ,041-0806
亀田支所,美原３丁目,みはらさんちょうめ,041-0806
亀田支所,美原４丁目,みはらよんちょうめ,041-0806
亀田支所,美原５丁目,みはらごちょうめ,041-0806
亀田支所,赤川町,あかがわちょう,041-0804
亀田支所,赤川１丁目,あかがわいっちょうめ,041-0805
亀田支所,亀田中野町,かめだなかのちょう,041-0803
亀田支所,北美原１丁目,きたみはらいっちょうめ,041-0807
亀田支所,北美原２丁目,きたみはらにちょうめ,041-0807
亀田支所,北美原３丁目,きたみはらさんちょうめ,041-0807
亀田支所,水元町,みずもとちょう,040-0000
亀田支所,亀田大森町,かめだおおもりちょう,040-0000
亀田支所,石川町,いしかわちょう,041-0802
亀田支所,桔梗町,ききょうちょう,041-0801
亀田支所,桔梗１丁目,ききょういっちょうめ,041-0808
亀田支所,桔梗２丁目,ききょうにちょうめ,041-0808
亀田支所,桔梗３丁目,ききょうさんちょうめ,041-0808
亀田支所,桔梗４丁目,ききょうよんちょうめ,041-0808
亀田支所,桔梗５丁目,ききょうごちょうめ,041-0808
亀田支所,西桔梗町,にしききょうちょう,041-0824
亀田支所,昭和町,しょうわちょう,041-0812
亀田支所,昭和１丁目,しょうわいっちょうめ,041-0812
亀田支所,昭和２丁目,しょうわにちょうめ,041-0812
亀田支所,昭和３丁目,しょうわさんちょうめ,041-0812
亀田支所,昭和４丁目,しょうわよんちょうめ,041-0812
亀田支所,亀田本町,かめだほんちょう,041-0813
亀田支所,亀田港町,かめだみなとちょう,041-0822
戸井支所,小安町,おやすちょう,041-0251
戸井支所,小安山町　,おやすやまちょう,041-0253
戸井支所,釜谷町,かまやちょう,041-0252
戸井支所,汐首町,しおくびちょう,041-0301
戸井支所,瀬田来町,せたらいちょう,041-0302
戸井支所,弁才町,べんざいちょう,041-0303
戸井支所,泊町,とまりまち,041-0304
戸井支所,館町,たてまち,041-0305
戸井支所,浜町,はまちょう,041-0311
戸井支所,新二見町,しんふたみちょう,041-0312
戸井支所,原木町,はらきちょう,041-0313
戸井支所,丸山町,まるやまちょう,041-0306
恵山支所,日浦町,ひうらちょう,041-0401
恵山支所,吉畑町,きちはたちょう,041-0408
恵山支所,豊浦町,とようらちょう,041-0402
恵山支所,大澗町,おおまちょう,041-0403
恵山支所,中浜町,なかはまちょう,041-0404
恵山支所,女那川町　　,めながわちょう,041-0406
恵山支所,川上町,かわかみちょう,041-0405
恵山支所,日和山町,ひよりやまちょう,041-0407
恵山支所,高岱町,たかだいちょう,041-0526
恵山支所,日ノ浜町,ひのはまちょう,041-0525
恵山支所,古武井町,こぶいちょう,041-0524
恵山支所,恵山町,えさんちょう,041-0522
恵山支所,柏野町,かしわのちょう,041-0523
恵山支所,御崎町,みさきちょう,041-0521
椴法華支所,恵山岬町,えさんみさきちょう,041-0605
椴法華支所,元村町,もとむらちょう,041-0604
椴法華支所,富浦町,とみうらちょう,041-0603
椴法華支所,島泊町,しまどまりちょう,041-0602
椴法華支所,新恵山町,しんえさんちょう,041-0606
椴法華支所,絵紙山町,えがみやまちょう,041-0613
椴法華支所,新八幡町,しんはちまんちょう,041-0601
椴法華支所,新浜町,しんはまちょう,041-0611
椴法華支所,銚子町,ちょうしちょう,041-0612
南茅部支所,古部町,ふるべちょう,041-1601
南茅部支所,木直町,きなおしちょう,041-1602
南茅部支所,尾札部町,おさつべちょう,041-1603
南茅部支所,川汲町,かっくみちょう,041-1611
南茅部支所,安浦町,やすうらちょう,041-1612
南茅部支所,臼尻町,うすじりちょう,041-1613
南茅部支所,豊崎町,とよさきちょう,041-1621
南茅部支所,大船町,おおふねちょう,041-1622
南茅部支所,双見町,ふたみちょう,041-1623
南茅部支所,岩戸町,いわとちょう,041-1624